x,y,right_width,left_width
0.000000000000000000e+00,0.000000000000000000e+00,1.750000000000000000e+00,1.750000000000000000e+00
6.661338147750939243e-16,1.000000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
8.881784197001252323e-16,1.500000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
1.332267629550187849e-15,2.000000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
1.554312234475219157e-15,2.500000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
1.776356839400250465e-15,3.000000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
2.220446049250313081e-15,3.500000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
2.442490654175344389e-15,4.000000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
2.664535259100375697e-15,4.500000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
3.108624468950438313e-15,5.000000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
3.330669073875469621e-15,5.500000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
3.774758283725532237e-15,6.000000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
3.996802888650563546e-15,6.500000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
4.218847493575594854e-15,7.000000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
4.662936703425657470e-15,7.500000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
4.884981308350688778e-15,7.943907226999999693e+01,1.726328120000005129e+00,1.726328120000005129e+00
4.884981308350688778e-15,8.073907226999999409e+01,1.726328120000005129e+00,1.726328120000005129e+00
5.107025913275720086e-15,8.500000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
5.551115123125782702e-15,9.000000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
5.773159728050814010e-15,9.500000000000000000e+01,1.750000000000000000e+00,1.750000000000000000e+00
6.217248937900876626e-15,1.000000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
6.439293542825907934e-15,1.050000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
6.661338147750939243e-15,1.100000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
7.105427357601001859e-15,1.150000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
7.327471962526033167e-15,1.200000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
7.549516567451064475e-15,1.250000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
7.993605777301127091e-15,1.300000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
8.215650382226158399e-15,1.350000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
8.659739592076221015e-15,1.400000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
8.881784197001252323e-15,1.450000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
9.103828801926283631e-15,1.500000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
9.547918011776346248e-15,1.550000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
9.769962616701377556e-15,1.600000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
1.021405182655144017e-14,1.650000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
1.043609643147647148e-14,1.700000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
1.065814103640150279e-14,1.750000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
1.110223024625156540e-14,1.800000000000000000e+02,1.750000000000000000e+00,1.750000000000000000e+00
