# s_ref,X_ref,Y_ref,phi_ref,kappa_ref,right_width,left_width
-462.577863,-0.189896,6.421228,1.477973,-0.076020,1.751407,1.751407
-462.477870,-0.180359,6.519913,1.471202,-0.060606,1.751407,1.751407
-462.377877,-0.170205,6.618776,1.465935,-0.045435,1.751407,1.751407
-462.277885,-0.159580,6.717806,1.462157,-0.030472,1.751407,1.751407
-462.177892,-0.148635,6.816990,1.459856,-0.015684,1.751407,1.751407
-462.077899,-0.137516,6.916315,1.459022,-0.001030,1.751407,1.751407
-461.977907,-0.126372,7.015770,1.459648,0.013526,1.751407,1.751407
-461.877914,-0.115352,7.115342,1.461729,0.028023,1.751407,1.751407
-461.777921,-0.104603,7.215019,1.465264,0.042496,1.751407,1.751407
-461.677928,-0.094274,7.314789,1.470253,0.056980,1.751407,1.751407
-461.577936,-0.084514,7.414638,1.476698,0.071503,1.751407,1.751407
-461.477943,-0.075470,7.514556,1.484602,0.086089,1.751407,1.751407
-461.377950,-0.067291,7.614529,1.493972,0.100754,1.751407,1.751407
-461.277958,-0.060125,7.714545,1.504814,0.115509,1.751407,1.751407
-461.177965,-0.054071,7.814592,1.515669,0.101011,1.751407,1.749998
-461.077972,-0.049032,7.914661,1.525058,0.086405,1.751407,1.749998
-460.977979,-0.044861,8.014744,1.532981,0.071767,1.751407,1.749998
-460.877987,-0.041410,8.114831,1.539434,0.057110,1.751407,1.749998
-460.777994,-0.038532,8.214914,1.544418,0.042440,1.751407,1.749998
-460.678001,-0.036080,8.314983,1.547931,0.027758,1.751407,1.749998
-460.578009,-0.033906,8.415031,1.549974,0.013060,1.751407,1.749998
-460.478016,-0.031864,8.515049,1.550544,-0.001660,1.751407,1.749998
-460.378023,-0.029806,8.615026,1.549641,-0.016408,1.751407,1.749998
-460.278030,-0.027585,8.714956,1.547263,-0.031193,1.751407,1.749998
-460.178038,-0.025054,8.814829,1.543406,-0.046021,1.751407,1.749998
-460.078045,-0.022066,8.914635,1.538069,-0.060893,1.751407,1.749998
-459.978052,-0.018472,9.014368,1.531248,-0.075809,1.751407,1.749998
-459.878060,-0.014127,9.114016,1.522941,-0.090760,1.751407,1.749998
-459.778067,-0.008883,9.213573,1.513147,-0.105732,1.751407,1.749998
-459.678074,-0.002607,9.312911,1.502207,-0.109855,1.749998,1.750000
-459.578081,0.004745,9.412073,1.491424,-0.107031,1.749998,1.750000
-459.478089,0.013150,9.511133,1.480925,-0.104171,1.749998,1.750000
-459.378096,0.022580,9.610093,1.470713,-0.101279,1.749998,1.750000
-459.278103,0.033006,9.708956,1.460789,-0.098362,1.749998,1.750000
-459.178111,0.044399,9.807723,1.451156,-0.095423,1.749998,1.750000
-459.078118,0.056731,9.906395,1.441814,-0.092468,1.749998,1.750000
-458.978125,0.069973,10.004975,1.432764,-0.089500,1.749998,1.750000
-458.878132,0.084097,10.103465,1.424007,-0.086524,1.749998,1.750000
-458.778140,0.099075,10.201865,1.415543,-0.083542,1.749998,1.750000
-458.678147,0.114876,10.300178,1.407373,-0.080558,1.749998,1.750000
-458.578154,0.131473,10.398406,1.399497,-0.077575,1.749998,1.750000
-458.478162,0.148838,10.496550,1.391913,-0.074594,1.749998,1.750000
-458.378169,0.166941,10.594613,1.384623,-0.071619,1.749998,1.750000
-458.278176,0.185754,10.692595,1.377626,-0.068651,1.749998,1.750000
-458.178183,0.205248,10.790499,1.370920,-0.065691,1.749998,1.750000
-458.078191,0.225396,10.888326,1.364507,-0.062742,1.749998,1.750000
-457.978198,0.246167,10.986078,1.358383,-0.059803,1.749998,1.750000
-457.878205,0.267534,11.083757,1.352550,-0.056876,1.749998,1.750000
-457.778213,0.289468,11.181365,1.347006,-0.053962,1.749998,1.750000
-457.678220,0.311940,11.278903,1.341750,-0.051060,1.749998,1.750000
-457.578227,0.334922,11.376374,1.336782,-0.048171,1.749998,1.750000
-457.478234,0.358385,11.473778,1.332100,-0.045295,1.749998,1.750000
-457.378242,0.382301,11.571118,1.327703,-0.042431,1.749998,1.750000
-457.278249,0.406640,11.668396,1.323591,-0.039580,1.749998,1.750000
-457.178256,0.431375,11.765612,1.319764,-0.036741,1.749998,1.750000
-457.078264,0.456476,11.862770,1.316219,-0.033913,1.749998,1.750000
-456.978271,0.481916,11.959870,1.312956,-0.031095,1.749998,1.750000
-456.878278,0.507664,12.056915,1.309975,-0.028287,1.749998,1.750000
-456.778285,0.533694,12.153906,1.307275,-0.025487,1.749998,1.750000
-456.678293,0.559976,12.250845,1.304855,-0.022695,1.749998,1.750000
-456.578300,0.586482,12.347734,1.302716,-0.019910,1.749998,1.750000
-456.478307,0.613183,12.444575,1.300855,-0.017129,1.749998,1.750000
-456.378315,0.640050,12.541368,1.299274,-0.014352,1.749998,1.750000
-456.278322,0.667055,12.638117,1.297972,-0.011578,1.749998,1.750000
-456.178329,0.694169,12.734822,1.296948,-0.008804,1.749998,1.750000
-456.078336,0.721363,12.831486,1.296204,-0.006030,1.749998,1.750000
-455.978344,0.748610,12.928111,1.295737,-0.003255,1.749998,1.750000
-455.878351,0.775880,13.024697,1.295550,-0.000476,1.749998,1.750000
-455.778358,0.803145,13.121247,1.295642,0.002308,1.749998,1.750000
-455.678366,0.830423,13.217919,1.295915,0.002662,1.750000,1.750000
-455.578373,0.857674,13.314596,1.296171,0.002431,1.750000,1.750000
-455.478380,0.884890,13.411239,1.296404,0.002200,1.750000,1.750000
-455.378387,0.912074,13.507850,1.296613,0.001968,1.750000,1.750000
-455.278395,0.939229,13.604429,1.296798,0.001735,1.750000,1.750000
-455.178402,0.966357,13.700977,1.296961,0.001502,1.750000,1.750000
-455.078409,0.993461,13.797495,1.297100,0.001268,1.750000,1.750000
-454.978417,1.020543,13.893984,1.297215,0.001034,1.750000,1.750000
-454.878424,1.047606,13.990443,1.297307,0.000800,1.750000,1.750000
-454.778431,1.074653,14.086875,1.297375,0.000565,1.750000,1.750000
-454.678438,1.101687,14.183279,1.297420,0.000329,1.750000,1.750000
-454.578446,1.128709,14.279656,1.297441,0.000094,1.750000,1.750000
-454.478453,1.155723,14.376007,1.297439,-0.000142,1.750000,1.750000
-454.378460,1.182732,14.472332,1.297413,-0.000379,1.750000,1.750000
-454.278468,1.209738,14.568633,1.297363,-0.000615,1.750000,1.750000
-454.178475,1.236743,14.664910,1.297289,-0.000852,1.750000,1.750000
-454.078482,1.263750,14.761163,1.297192,-0.001089,1.750000,1.750000
-453.978489,1.290763,14.857394,1.297072,-0.001326,1.750000,1.750000
-453.878497,1.317783,14.953602,1.296927,-0.001564,1.750000,1.750000
-453.778504,1.344813,15.049789,1.296759,-0.001801,1.750000,1.750000
-453.678511,1.371856,15.145956,1.296567,-0.002039,1.750000,1.750000
-453.578519,1.398914,15.242102,1.296352,-0.002277,1.750000,1.750000
-453.478526,1.425991,15.338230,1.296113,-0.002514,1.750000,1.750000
-453.378533,1.453089,15.434338,1.295850,-0.002752,1.750000,1.750000
-453.278540,1.480210,15.530429,1.295563,-0.002990,1.750000,1.750000
-453.178548,1.507357,15.626502,1.295253,-0.003227,1.750000,1.750000
-453.078555,1.534532,15.722559,1.294919,-0.003465,1.750000,1.750000
-452.978562,1.561740,15.818600,1.294561,-0.003702,1.750000,1.750000
-452.878570,1.588981,15.914626,1.294180,-0.003940,1.750000,1.750000
-452.778577,1.616259,16.010637,1.293774,-0.004177,1.750000,1.750000
-452.678584,1.643576,16.106634,1.293346,-0.004414,1.750000,1.750000
-452.578591,1.670935,16.202618,1.292893,-0.004650,1.750000,1.750000
-452.478599,1.698339,16.298590,1.292417,-0.004887,1.750000,1.750000
-452.378606,1.725790,16.394550,1.291918,-0.005123,1.750000,1.750000
-452.278613,1.753291,16.490499,1.291395,-0.005359,1.750000,1.750000
-452.178621,1.780845,16.586437,1.290848,-0.005594,1.750000,1.750000
-452.078628,1.808453,16.682366,1.290278,-0.005829,1.750000,1.750000
-451.978635,1.836120,16.778286,1.289684,-0.006064,1.750000,1.750000
-451.878642,1.863847,16.874197,1.289067,-0.006298,1.750000,1.750000
-451.778650,1.891637,16.970101,1.288427,-0.006532,1.750000,1.750000
-451.678657,1.919493,17.065997,1.287772,-0.006446,1.750000,1.749999
-451.578664,1.947414,17.161888,1.287144,-0.006143,1.750000,1.749999
-451.478672,1.975397,17.257772,1.286545,-0.005839,1.750000,1.749999
-451.378679,2.003439,17.353651,1.285977,-0.005536,1.750000,1.749999
-451.278686,2.031537,17.449524,1.285439,-0.005233,1.750000,1.749999
-451.178693,2.059688,17.545393,1.284931,-0.004930,1.750000,1.749999
-451.078701,2.087889,17.641257,1.284454,-0.004628,1.750000,1.749999
-450.978708,2.116137,17.737118,1.284006,-0.004326,1.750000,1.749999
-450.878715,2.144430,17.832975,1.283589,-0.004024,1.750000,1.749999
-450.778723,2.172763,17.928830,1.283202,-0.003722,1.750000,1.749999
-450.678730,2.201134,18.024681,1.282845,-0.003420,1.750000,1.749999
-450.578737,2.229540,18.120531,1.282518,-0.003119,1.750000,1.749999
-450.478744,2.257979,18.216379,1.282221,-0.002818,1.750000,1.749999
-450.378752,2.286446,18.312225,1.281955,-0.002517,1.750000,1.749999
-450.278759,2.314939,18.408071,1.281718,-0.002216,1.750000,1.749999
-450.178766,2.343456,18.503917,1.281512,-0.001915,1.750000,1.749999
-450.078774,2.371992,18.599762,1.281335,-0.001614,1.750000,1.749999
-449.978781,2.400545,18.695608,1.281189,-0.001313,1.750000,1.749999
-449.878788,2.429113,18.791455,1.281073,-0.001013,1.750000,1.749999
-449.778795,2.457691,18.887304,1.280986,-0.000712,1.750000,1.749999
-449.678803,2.486277,18.983154,1.280930,-0.000412,1.750000,1.749999
-449.578810,2.514869,19.079006,1.280904,-0.000112,1.750000,1.749999
-449.478817,2.543462,19.174861,1.280908,0.000188,1.750000,1.749999
-449.378825,2.572054,19.270719,1.280942,0.000489,1.750000,1.749999
-449.278832,2.600642,19.366581,1.281005,0.000789,1.750000,1.749999
-449.178839,2.629223,19.462447,1.281099,0.001089,1.750000,1.749999
-449.078846,2.657794,19.558317,1.281223,0.001389,1.750000,1.749999
-448.978854,2.686352,19.654192,1.281377,0.001689,1.750000,1.749999
-448.878861,2.714894,19.750072,1.281561,0.001990,1.750000,1.749999
-448.778868,2.743417,19.845958,1.281775,0.002290,1.750000,1.749999
-448.678876,2.771918,19.941850,1.282019,0.002590,1.750000,1.749999
-448.578883,2.800393,20.037748,1.282294,0.002890,1.750000,1.749999
-448.478890,2.828841,20.133654,1.282598,0.003191,1.750000,1.749999
-448.378897,2.857257,20.229567,1.282932,0.003491,1.750000,1.749999
-448.278905,2.885640,20.325488,1.283296,0.003792,1.750000,1.749999
-448.178912,2.913985,20.421418,1.283691,0.004093,1.750000,1.749999
-448.078919,2.942290,20.517356,1.284115,0.004393,1.750000,1.749999
-447.978927,2.970552,20.613303,1.284569,0.004694,1.750000,1.749999
-447.878934,2.998768,20.709260,1.285054,0.004995,1.750000,1.749999
-447.778941,3.026935,20.805227,1.285569,0.005297,1.750000,1.749999
-447.678948,3.055049,20.901204,1.286108,0.005401,1.749999,1.750003
-447.578956,3.083111,20.997191,1.286645,0.005324,1.749999,1.750003
-447.478963,3.111120,21.093190,1.287173,0.005247,1.749999,1.750003
-447.378970,3.139078,21.189199,1.287694,0.005170,1.749999,1.750003
-447.278978,3.166985,21.285218,1.288207,0.005092,1.749999,1.750003
-447.178985,3.194842,21.381249,1.288712,0.005015,1.749999,1.750003
-447.078992,3.222650,21.477291,1.289210,0.004938,1.749999,1.750003
-446.978999,3.250410,21.573344,1.289700,0.004860,1.749999,1.750003
-446.879007,3.278122,21.669408,1.290182,0.004783,1.749999,1.750003
-446.779014,3.305788,21.765483,1.290656,0.004705,1.749999,1.750003
-446.679021,3.333408,21.861569,1.291123,0.004627,1.749999,1.750003
-446.579029,3.360984,21.957666,1.291581,0.004550,1.749999,1.750003
-446.479036,3.388515,22.053774,1.292032,0.004472,1.749999,1.750003
-446.379043,3.416003,22.149894,1.292475,0.004394,1.749999,1.750003
