x,y,right_width,left_width
2.114179037466451527e-01,9.146047588364677239e+00,1.749998046550151010e+00,1.749998046550151010e+00
1.732625657859584445e-01,1.269684480688646389e+01,1.749998095453643154e+00,1.749998095453643154e+00
2.866532565060678772e-01,1.638277227352969945e+01,1.750000653574431242e+00,1.750000653574431242e+00
4.179348718385268446e-01,2.004489466813377874e+01,1.750000307581016434e+00,1.750000307581016656e+00
5.355427789627805746e-01,2.371326783480618872e+01,1.750000845474100508e+00,1.750000845474100508e+00
6.193759302215423590e-01,2.738762005084345219e+01,1.749999220548539514e+00,1.749999220548539514e+00
6.492503421159036003e-01,3.105088238199037676e+01,1.750002354403803029e+00,1.750002354403803029e+00
5.995484862555974237e-01,3.468697401804858771e+01,1.749995654019455893e+00,1.749995654019456115e+00
4.246251707160236810e-01,3.835265922342748013e+01,1.750000880596661590e+00,1.750000880596662034e+00
3.220049481310860440e-02,4.198125415936947746e+01,1.750002494426260879e+00,1.750002494426260879e+00
-8.634513008285240598e-01,4.552884378281186173e+01,1.750001733129554982e+00,1.750001733129557424e+00
-2.210678227211884117e+00,4.889728033288195519e+01,1.749998871883362117e+00,1.749998871883362561e+00
-4.012389099609533716e+00,5.205911580045329856e+01,1.749999768714487036e+00,1.749999768714482151e+00
-6.586982639489245450e+00,5.460544520478991615e+01,1.749996753755524548e+00,1.749996753755530099e+00
-9.617784834843204678e+00,5.663752685210805282e+01,1.750001372734757421e+00,1.750001372734751204e+00
-1.310897435156984514e+01,5.762777388875895213e+01,1.750004232873625609e+00,1.750004232873625609e+00
-1.674517233715717879e+01,5.761955155882054669e+01,1.749997897812594960e+00,1.749997897812588077e+00
-2.034402641335626782e+01,5.700456362631794605e+01,1.749999678769546652e+00,1.749999678769552425e+00
-2.384168766561315778e+01,5.595961078450042692e+01,1.750001086827210006e+00,1.750001086827208896e+00
-2.729449048941402367e+01,5.475899965241777778e+01,1.749999246996041924e+00,1.749999246996043034e+00
-3.074310925139030459e+01,5.352654078268516002e+01,1.749996225955820606e+00,1.749996225955820606e+00
-3.421103471910844007e+01,5.243803438280253459e+01,1.749995527491688740e+00,1.749995527491686964e+00
-3.776745913697752144e+01,5.159641793927831088e+01,1.750003028651935244e+00,1.750003028651942349e+00
-4.125660866555196549e+01,5.056378507324409100e+01,1.750003768299301932e+00,1.750003768299301932e+00
-4.416369086697834945e+01,4.841323372024027094e+01,1.750003548195473213e+00,1.750003548195473213e+00
-4.615513663731446314e+01,4.536049265784313889e+01,1.749998504424269630e+00,1.749998504424266077e+00
-4.801375045007200271e+01,4.222173767887053941e+01,1.750000784397442555e+00,1.750000784397445885e+00
-4.908128060627716138e+01,3.876220356705769632e+01,1.750000067647010216e+00,1.750000067647016433e+00
-4.846640073795241221e+01,3.518476100921310490e+01,1.749999493143249651e+00,1.749999493143256535e+00
-4.785187748601842372e+01,3.159839626854294536e+01,1.750001541744367062e+00,1.750001541744367062e+00
-4.883324114990652731e+01,2.811669839585502828e+01,1.750001184604193849e+00,1.750001184604187410e+00
-5.064883931185642751e+01,2.494944244095977126e+01,1.750000895606750317e+00,1.750000895606752316e+00
-5.280626360201458169e+01,2.199857247878368582e+01,1.749999192619680732e+00,1.749999192619684063e+00
-5.532718573671290585e+01,1.938515085996619547e+01,1.749998844792571839e+00,1.749998844792571839e+00
-5.842191143663781361e+01,1.744768626471982742e+01,1.749999141962655047e+00,1.749999141962651272e+00
-6.127269622174085839e+01,1.520236485410241301e+01,1.749999001572549506e+00,1.749999001572542845e+00
-6.269333093489635189e+01,1.187710896786405002e+01,1.749999780003562710e+00,1.749999780003562710e+00
-6.313035419768645795e+01,8.254295365524086492e+00,1.750000565324093760e+00,1.750000565324100865e+00
-6.276992937942733164e+01,4.628289698274729247e+00,1.750000921262234943e+00,1.750000921262235165e+00
-6.133137136237260734e+01,1.297323606098852666e+00,1.750000171033709417e+00,1.750000171033715413e+00
-5.913046945082032124e+01,-1.612641694657503733e+00,1.750001087181524362e+00,1.750001087181524362e+00
-5.634120315325674255e+01,-3.949304857123900891e+00,1.749998934291970398e+00,1.749998934291970398e+00
-5.286827133922373889e+01,-4.955360880425581982e+00,1.750000668374577018e+00,1.750000668374577018e+00
-4.927047402857279224e+01,-4.493504635676079495e+00,1.749999628646700778e+00,1.749999628646698335e+00
-4.592327027560138220e+01,-3.044182295371666402e+00,1.749998878614307696e+00,1.749998878614307918e+00
-4.238056999298930805e+01,-2.218778820515804107e+00,1.750000623436353431e+00,1.750000623436354319e+00
-3.873924391827367231e+01,-2.129076273126559116e+00,1.749997869566787490e+00,1.749997869566786157e+00
-3.568162561061685523e+01,-4.000786499638415705e+00,1.750001465079174201e+00,1.750001465079173757e+00
-3.344637320284017079e+01,-6.860232851724910041e+00,1.749997782916115074e+00,1.749997782916111966e+00
-3.309201028768364239e+01,-1.047156057638802196e+01,1.749999715706718861e+00,1.749999715706722192e+00
-3.313224961930793455e+01,-1.412940248890401662e+01,1.750002844206480779e+00,1.750002844206484331e+00
-3.294864556250161769e+01,-1.775436658539616985e+01,1.750001650061949965e+00,1.750001650061946412e+00
-3.381602500401463374e+01,-2.127593114557022602e+01,1.749996264433889337e+00,1.749996264433883564e+00
-3.578638345600315063e+01,-2.432765030938472250e+01,1.749995779560441722e+00,1.749995779560449494e+00
-3.832893005521857788e+01,-2.694850414308251985e+01,1.749995115692631220e+00,1.749995115692636327e+00
-4.075761853363954401e+01,-2.967735633528494787e+01,1.749994720260202419e+00,1.749994720260204639e+00
-4.268969747220990030e+01,-3.276459681774750266e+01,1.749996433997019096e+00,1.749996433997012657e+00
-4.362145322984855511e+01,-3.626110128794758225e+01,1.749997861227413187e+00,1.749997861227419627e+00
-4.321094932058349514e+01,-3.989722330841028963e+01,1.750000609615753433e+00,1.750000609615753433e+00
-4.176559143295004617e+01,-4.323677247659963285e+01,1.749999372284280597e+00,1.749999372284280597e+00
-3.948242309406720096e+01,-4.605926655920194435e+01,1.749997479968373737e+00,1.749997479968368852e+00
-3.651041817222530028e+01,-4.815560279183806358e+01,1.749997422424972804e+00,1.749997422424975912e+00
-3.305887695527752612e+01,-4.932018175732449095e+01,1.749997977593406251e+00,1.749997977593413356e+00
-2.943594567784008476e+01,-4.923538487207154901e+01,1.749998941160135990e+00,1.749998941160142651e+00
-2.638094863566389847e+01,-4.739123335742634424e+01,1.749999970525774051e+00,1.749999970525776716e+00
-2.477333348039164918e+01,-4.414046465187395540e+01,1.749998838100309317e+00,1.749998838100308207e+00
