x,y,right_width,left_width
1.292960069555506575e+00,9.117317505907942987e+00,1.750000439224760340e+00,1.750000439224760340e+00
1.275017701641865786e+00,1.311540497542001305e+01,1.749996429709812062e+00,1.749996429709812062e+00
1.289278507452349398e+00,1.712251873833398719e+01,1.750004047891861925e+00,1.750004047891861925e+00
1.187899984048541580e+00,2.112558367333024378e+01,1.750003823088395194e+00,1.750003823088394972e+00
6.340003966230283172e-01,2.507202359447432372e+01,1.750002267213553786e+00,1.750002267213552898e+00
-8.549567928590972032e-01,2.877063232481714650e+01,1.749999115944378403e+00,1.749999115944378403e+00
-3.637481324734332944e+00,3.161680763346593181e+01,1.750000742898447870e+00,1.750000742898445205e+00
-6.720074981659432289e+00,3.417331471778546614e+01,1.750002546073124332e+00,1.750002546073124332e+00
-9.949410243821407818e+00,3.652555208596182723e+01,1.750000999118900946e+00,1.750000999118900946e+00
-1.342413751431642766e+01,3.847190239913305732e+01,1.750001981433674025e+00,1.750001981433674025e+00
-1.729475274479864666e+01,3.948223006784603939e+01,1.749999160798334508e+00,1.749999160798334508e+00
-2.125884224606532769e+01,3.989973443734375280e+01,1.750000625233793849e+00,1.750000625233793849e+00
-2.518067586649148382e+01,3.917536258830035933e+01,1.749999682678565094e+00,1.749999682678566204e+00
-2.873106976460396567e+01,3.738301577047450763e+01,1.749999786750561670e+00,1.749999786750559672e+00
-3.207767648881880973e+01,3.516791231251923477e+01,1.749999455314620755e+00,1.749999455314628749e+00
-3.538436486913828105e+01,3.289392696469494126e+01,1.750000919883590411e+00,1.750000919883596184e+00
-3.879815892351768980e+01,3.078331240347047526e+01,1.750000967236347904e+00,1.750000967236348126e+00
-4.251794535099794814e+01,2.940501251082504552e+01,1.749999032750562566e+00,1.749999032750567451e+00
-4.648749100206361362e+01,2.926325351733168390e+01,1.749998298207774861e+00,1.749998298207774861e+00
-5.026763609352703099e+01,3.051712464180532791e+01,1.750000075630265828e+00,1.750000075630268936e+00
-5.339637066961287815e+01,3.293748435337490577e+01,1.750001651477627762e+00,1.750001651477627762e+00
-5.576588920884654499e+01,3.616513919945181499e+01,1.749998851873276973e+00,1.749998851873286743e+00
