cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,-0.4566533393346925,9.08051456148129,0.0,0.0,0.0,0.0,0,1
blue,-0.4749560183600113,13.124320316124725,0.0,0.0,0.0,0.0,0,1
blue,-0.4607152381698868,17.11651391352737,0.0,0.0,0.0,0.0,0,1
blue,-0.5590216989423384,21.021766457415396,0.0,0.0,0.0,0.0,0,1
blue,-1.0669633511206125,24.660647532805097,0.0,0.0,0.0,0.0,0,1
blue,-2.3241395275835104,27.819843705936062,0.0,0.0,0.0,0.0,0,1
blue,-4.794582301507874,30.303940568719913,0.0,0.0,0.0,0.0,0,1
blue,-7.7879223061638205,32.78687647436774,0.0,0.0,0.0,0.0,0,1
blue,-10.966396140874082,35.1013880567457,0.0,0.0,0.0,0.0,0,1
blue,-14.031813102848313,36.83079383656804,0.0,0.0,0.0,0.0,0,1
blue,-17.664192314465684,37.771671250628955,0.0,0.0,0.0,0.0,0,1
blue,-21.20572665999929,38.150540073404876,0.0,0.0,0.0,0.0,0,1
blue,-24.61796617851326,37.51829991705629,0.0,0.0,0.0,0.0,0,1
blue,-27.813254877644223,35.89301070776429,0.0,0.0,0.0,0.0,0,1
blue,-31.084038150368084,33.727363477539186,0.0,0.0,0.0,0.0,0,1
blue,-34.40885634295151,31.441038003029135,0.0,0.0,0.0,0.0,0,1
blue,-37.96752594042298,29.243003268029366,0.0,0.0,0.0,0.0,0,1
blue,-42.16134905838867,27.69173036864144,0.0,0.0,0.0,0.0,0,1
blue,-46.75127992613174,27.533250786909246,0.0,0.0,0.0,0.0,0,1
blue,-51.03493758175652,28.944309111977766,0.0,0.0,0.0,0.0,0,1
blue,-54.74006138879715,31.816323779972294,0.0,0.0,0.0,0.0,0,1
blue,-57.18124533589664,35.13593415905434,0.0,0.0,0.0,0.0,0,1
blue,-59.49671272049839,37.687028777989575,0.0,0.0,0.0,0.0,0,1
blue,-62.663572643853065,39.471873653747174,0.0,0.0,0.0,0.0,0,1
blue,-66.09353071173618,40.63288983923623,0.0,0.0,0.0,0.0,0,1
blue,-69.6190985104227,40.94393598950921,0.0,0.0,0.0,0.0,0,1
blue,-73.28688096986687,40.46446851775989,0.0,0.0,0.0,0.0,0,1
blue,-76.89777444639775,39.4257681004802,0.0,0.0,0.0,0.0,0,1
blue,-80.31714577571674,37.900678080744825,0.0,0.0,0.0,0.0,0,1
blue,-83.0916862007161,35.80307455404175,0.0,0.0,0.0,0.0,0,1
blue,-85.70416502578955,32.93870621027565,0.0,0.0,0.0,0.0,0,1
blue,-88.56075579107184,29.88010303400458,0.0,0.0,0.0,0.0,0,1
blue,-92.64348056983457,27.364129986949237,0.0,0.0,0.0,0.0,0,1
blue,-97.47657198441492,27.495578469014827,0.0,0.0,0.0,0.0,0,1
blue,-101.30333371344767,28.58894341470634,0.0,0.0,0.0,0.0,0,1
blue,-104.53599015818868,28.760803509851034,0.0,0.0,0.0,0.0,0,1
blue,-108.00513687960044,27.6564028287388,0.0,0.0,0.0,0.0,0,1
blue,-111.64536219822894,26.08102034458562,0.0,0.0,0.0,0.0,0,1
blue,-115.63412619004869,24.60194977648472,0.0,0.0,0.0,0.0,0,1
blue,-120.36337972905413,24.35883059896373,0.0,0.0,0.0,0.0,0,1
blue,-124.46640060670086,25.70797588206461,0.0,0.0,0.0,0.0,0,1
blue,-127.67178597059718,26.495486997421374,0.0,0.0,0.0,0.0,0,1
blue,-131.30229449730842,26.04833895288799,0.0,0.0,0.0,0.0,0,1
blue,-134.79800165721468,24.970564713241046,0.0,0.0,0.0,0.0,0,1
blue,-137.84949896305486,23.18445195799084,0.0,0.0,0.0,0.0,0,1
blue,-140.48029759211232,20.676900019267922,0.0,0.0,0.0,0.0,0,1
blue,-142.54241674099396,17.68977439747539,0.0,0.0,0.0,0.0,0,1
