cone_type,X,Y,Z,std_X,std_Y,std_Z,right,left
blue,1.6119904498929332,22.513009550107068,0.0,0.0,0.0,0.0,0,1
blue,5.058988531120922,24.81622003293242,0.0,0.0,0.0,0.0,0,1
blue,9.125,25.625,0.0,0.0,0.0,0.0,0,1
blue,13.19101146887908,24.81622003293242,0.0,0.0,0.0,0.0,0,1
blue,16.638009550107068,22.513009550107068,0.0,0.0,0.0,0.0,0,1
blue,18.94122003293242,19.06601146887908,0.0,0.0,0.0,0.0,0,1
blue,19.75,15.0,0.0,0.0,0.0,0.0,0,1
blue,18.94122003293242,10.93398853112092,0.0,0.0,0.0,0.0,0,1
blue,16.638009550107068,7.486990449892933,0.0,0.0,0.0,0.0,0,1
blue,13.19101146887908,5.183779967067579,0.0,0.0,0.0,0.0,0,1
blue,9.125,4.375,0.0,0.0,0.0,0.0,0,1
blue,5.058988531120926,5.183779967067576,0.0,0.0,0.0,0.0,0,1
blue,1.6119904498929332,7.486990449892932,0.0,0.0,0.0,0.0,0,1
blue,-1.5,15.0,0.0,0.0,0.0,0.0,0,1
blue,-2.0804185646014384,17.91796117178381,0.0,0.0,0.0,0.0,0,1
blue,-3.733310793452575,20.391689206547426,0.0,0.0,0.0,0.0,0,1
blue,-6.20703882821619,22.044581435398563,0.0,0.0,0.0,0.0,0,1
blue,-9.125,22.625,0.0,0.0,0.0,0.0,0,1
blue,-12.042961171783809,22.044581435398563,0.0,0.0,0.0,0.0,0,1
blue,-14.516689206547424,20.391689206547426,0.0,0.0,0.0,0.0,0,1
blue,-16.169581435398563,17.91796117178381,0.0,0.0,0.0,0.0,0,1
blue,-16.75,15.000000000000002,0.0,0.0,0.0,0.0,0,1
blue,-16.169581435398563,12.082038828216191,0.0,0.0,0.0,0.0,0,1
blue,-14.516689206547426,9.608310793452576,0.0,0.0,0.0,0.0,0,1
blue,-12.042961171783814,7.95541856460144,0.0,0.0,0.0,0.0,0,1
blue,-9.125000000000002,7.375,0.0,0.0,0.0,0.0,0,1
blue,-6.207038828216189,7.955418564601439,0.0,0.0,0.0,0.0,0,1
blue,-3.733310793452577,9.608310793452574,0.0,0.0,0.0,0.0,0,1
blue,-2.08041856460144,12.082038828216186,0.0,0.0,0.0,0.0,0,1
yellow,1.5,15.000000000000002,0.0,0.0,0.0,0.0,1,0
yellow,2.0804185646014384,17.91796117178381,0.0,0.0,0.0,0.0,1,0
yellow,3.733310793452576,20.391689206547426,0.0,0.0,0.0,0.0,1,0
yellow,6.2070388282161915,22.044581435398563,0.0,0.0,0.0,0.0,1,0
yellow,9.125,22.625,0.0,0.0,0.0,0.0,1,0
yellow,12.04296117178381,22.044581435398563,0.0,0.0,0.0,0.0,1,0
yellow,14.516689206547426,20.391689206547426,0.0,0.0,0.0,0.0,1,0
yellow,16.169581435398563,17.91796117178381,0.0,0.0,0.0,0.0,1,0
yellow,16.75,15.0,0.0,0.0,0.0,0.0,1,0
yellow,16.169581435398563,12.082038828216191,0.0,0.0,0.0,0.0,1,0
yellow,14.516689206547426,9.608310793452576,0.0,0.0,0.0,0.0,1,0
yellow,12.042961171783812,7.955418564601439,0.0,0.0,0.0,0.0,1,0
yellow,9.125,7.375,0.0,0.0,0.0,0.0,1,0
yellow,6.207038828216188,7.955418564601439,0.0,0.0,0.0,0.0,1,0
yellow,3.733310793452576,9.608310793452574,0.0,0.0,0.0,0.0,1,0
yellow,2.08041856460144,12.082038828216186,0.0,0.0,0.0,0.0,1,0
yellow,-1.6119904498929323,22.513009550107068,0.0,0.0,0.0,0.0,1,0
yellow,-5.058988531120921,24.81622003293242,0.0,0.0,0.0,0.0,1,0
yellow,-9.125,25.625,0.0,0.0,0.0,0.0,1,0
yellow,-13.19101146887908,24.81622003293242,0.0,0.0,0.0,0.0,1,0
yellow,-16.638009550107068,22.513009550107068,0.0,0.0,0.0,0.0,1,0
yellow,-18.94122003293242,19.06601146887908,0.0,0.0,0.0,0.0,1,0
yellow,-19.75,15.000000000000002,0.0,0.0,0.0,0.0,1,0
yellow,-18.94122003293242,10.933988531120923,0.0,0.0,0.0,0.0,1,0
yellow,-16.63800955010707,7.486990449892933,0.0,0.0,0.0,0.0,1,0
yellow,-13.191011468879084,5.183779967067581,0.0,0.0,0.0,0.0,1,0
yellow,-9.125000000000002,4.375,0.0,0.0,0.0,0.0,1,0
yellow,-5.058988531120928,5.183779967067576,0.0,0.0,0.0,0.0,1,0
yellow,-1.611990449892934,7.4869904498929305,0.0,0.0,0.0,0.0,1,0
big_orange,1.5,15.5,0.0,0.0,0.0,0.0,1,0
big_orange,-1.5,15.5,0.0,0.0,0.0,0.0,0,1
big_orange,1.5,14.5,0.0,0.0,0.0,0.0,1,0
big_orange,-1.5,14.5,0.0,0.0,0.0,0.0,0,1
small_orange,1.5,4.0,0.0,0.0,0.0,0.0,1,0
small_orange,1.5,6.0,0.0,0.0,0.0,0.0,1,0
small_orange,-1.5,4.0,0.0,0.0,0.0,0.0,0,1
small_orange,-1.5,6.0,0.0,0.0,0.0,0.0,0,1
small_orange,-1.5,24.0,0.0,0.0,0.0,0.0,0,1
small_orange,-1.5,26.2,0.0,0.0,0.0,0.0,0,1
small_orange,-1.5,28.4,0.0,0.0,0.0,0.0,0,1
small_orange,-1.5,30.6,0.0,0.0,0.0,0.0,0,1
small_orange,-1.5,32.8,0.0,0.0,0.0,0.0,0,1
small_orange,-1.5,35.0,0.0,0.0,0.0,0.0,0,1
small_orange,1.5,24.0,0.0,0.0,0.0,0.0,1,0
small_orange,1.5,26.2,0.0,0.0,0.0,0.0,1,0
small_orange,1.5,28.4,0.0,0.0,0.0,0.0,1,0
small_orange,1.5,30.6,0.0,0.0,0.0,0.0,1,0
small_orange,1.5,32.8,0.0,0.0,0.0,0.0,1,0
small_orange,1.5,35.0,0.0,0.0,0.0,0.0,1,0
small_orange,0.75,35.0,0.0,0.0,0.0,0.0,1,0
small_orange,-0.75,35.0,0.0,0.0,0.0,0.0,0,1
